name,Descripción,Área,Web,Última Actualización,Fuente de datos,gx_media_links,geometry
Dulce Armonía Internacional,"""Grupo musical para la interpretación de música variada tanto religiosa como popular, lírica, colombiana y Tango. Con una experiencia de más de 25 años en el mercado musical y artístico.
 Grupo que está integrado por pianista, guitarrista, violínes y voces tanto femenina como masculina ó femenina solista.
 .
 NOTA IMPORTANTE: YO VIVO EN CIUDADELA SAN DIEGO men el momento, - no pertenezco a la comuna 10- estoy participando en la comuna 14- porque trabajo con la Corp. Red Cultural del Poblado y en próximo mes viviré en Vegas del poblado.""",Músicas,,12/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en:http://goo.gl/PF5biy,,"<Point><coordinates>-75.5749932,6.2259446,0.0</coordinates></Point>"
Yenny Saldarriaga Jaramillo,"""Música graduada de la universidad EAFIT.
 En este momento desarrolla un trabajo musical llamado ""La Pócima"", género independiente donde toma elementos de varios ritmos generando por medio de la música un ambiente que coloree el texto y la poesía de cada canción, elemento a rescatar en su trabajo.
 Cuenta con un equipo de 7 músicos acompañantes con quienes emprende esta magia musical.
 Además también interpretan covers de otros géneros y artistas como pop, tropical, boleros, colombiana,etc.""",Músicas,https://www.facebook.com/pages/YennyS/421283597961224?ref=ts&fref=ts,Abril de 2015,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://scontent-mia.xx.fbcdn.net/hphotos-xap1/t31.0-8/10497164_646478028775112_5917013294589354565_o.jpg,"<Point><coordinates>-75.5836095,6.2266117,0.0</coordinates></Point>"
Rogs,"""Crear producir y tocar rock sin pedigree.""",Músicas,http://www.rogs.co/,Abril de 2015,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,http://www.rogs.co/images/logo.png,"<Point><coordinates>-75.573059,6.2298494,0.0</coordinates></Point>"
La Pregonera Orquesta,"""La Pregonera Orquesta, Salsa Brava, nace y crece desde los barrios del Nororiente de Medellín. Un grupo de jóvenes del barrio se interesa por hacer montaje musical con sus propias canciones y con canciones representativas del brillo de las Salsa de los 70'S.
 
 La Narvaez, la Dicupé, la Zodiac, la Fania All Stars, Hector Lavoe, Ismael Miranda, Tabaco y sus metales, son algunas de las Orquestas y Artistas que se toman como referencia para nuestros trabajo y montajes. El mejor estilo y sonido a lo New York en su época.""",Músicas,https://www.facebook.com/LaPregoneraOrq?fref=ts,Abril de 2015,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://scontent-mia.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/1609931_263880507092215_7946090070826339761_n.jpg?oh=3064d2c512e08629a19aa1644d217249&oe=559A419F,"<Point><coordinates>-75.5543522,6.2969823,0.0</coordinates></Point>"
El Túnel,"""Intérpretes y representantes de la música Blues Rock de Medellín con canciones propias compuestas, arregladas y producidas de manera independiente, con un recorrido de más de 10 años trabajamos bajo un concepto artístico completo que puede llegar a involucrar campos como la ilustración, animación, danza y por supuesto la música.""",Músicas,http://goo.gl/HJmBlM,Julio 2015,Formulario para identificación de artistas visuales Comuna 8 y 9 - Casa de la Cultura Àvila 2015.,http://static.wixstatic.com/media/146b98_0073c461a4df33efb6ec90f15cbd4cc4.png_srb_p_128_48_75_22_0.50_1.20_0.00_png_srb,"<Point><coordinates>-75.5415603,6.2738269,0.0</coordinates></Point>"
Luis Santiago Pacheco Patiño,"Más conocido En el mundo musical Como (Santi Pacheco) es un cantautor de Reggaeton,R&B,Dancehall,Pop,Baladas,Salsa,Bachata,Merengue,HipHop.",Músicas,https://goo.gl/FS7DHT,Julio 2015,Formulario para identificación de artistas visuales Comuna 8 y 9 - Casa de la Cultura Àvila 2015.,https://scontent-mia1-1.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/10613001_1485863945006560_4480650894596522991_n.jpg?oh=f63e465b01a0e89dec278fc273a2b89e&oe=565BE82B,"<Point><coordinates>-75.537701,6.2336244,0.0</coordinates></Point>"
Carlos Cantor,"""Las Canciones de la Heladeria"" : Musical Stand Up, con dialogos y canciones (karaoke) de los años 60 en adelante en muchos ritmos.  para público adulto: reuniones familiares, sociales, empresariales, eventos y gran escenario. ""Este y Yo"": Este y Yo... duo... Interpretes de musica folclorica colombiana: bambuco, pasillo, bolero, vals, danza, tango, etc. Tradicionales y Originales para publico adulto. Para reuniones familiares,eventos sociales y empresariales, gran escenario.",Músicas,www.carloscantor.co,Junio 2015,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,http://nebula.wsimg.com/78b983411a2fd79e7e963c0063ab92dd?AccessKeyId=DE2B8F9E1D9B1740D3BE&disposition=0&alloworigin=1,"<Point><coordinates>-75.6151021,6.1611543,0.0</coordinates></Point>"
Felisa,"Felisa es mi nombre artístico. Nació primero en la escritura inspirada en el nombre de una de mis bisabuelas y luego cuando empecé a componer canciones, decidí adoptarlo también para el ámbito musical. Soy cantante y compositora y si bien llevo presentándome en diferentes escenarios de la ciudad desde hace 5 años con diferentes agrupaciones, solo hasta el año pasado decidí lanzar mi proyecto musical como solista.

Los ritmos de Colombia y Latinoamérica  son la base sonora de mi música. En mis canciones exploro, renuevo, y experimento con los sonidos de nuestro continente, generando un estilo propio que me gusta llamar Indie-Pop latinoamericano. Mis letras cuentan historias, son canciones que reflejan el sentir de una generación que quiere salirse de los lugares comunes, hablar de la vida, las experiencias y las preocupaciones que experimentamos como seres humanos. Mi propuesta sonora va más allá de los formatos completamente acústicos –típicos de los géneros que me inspiran–, y les introduzco instrumentos y elementos electrónicos. 

La simpleza y el buen uso de los arreglos es una de las características de las canciones de mi proyecto. Busco un sonido nítido y con poca instrumentación, que consta principalmente de guitarra eléctrica con efectos, contrabajo, batería, beats y voces procesadas por un diseñador de voz (VoiceLive). ",Músicas,www.facebook.com/felisamusica,Junio 2015,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,http://www.vivirenelpoblado.com/blogs/radarsonoro/wp-content/uploads/sites/6/2014/12/felisa1.jpg,"<Point><coordinates>-75.5620844,6.2096348,0.0</coordinates></Point>"
BYRON SANCHEZ CUARTETO,"Byron Sánchez Cuarteto nace de la idea de crear una sonoridad con proyección internacional, creando su propia música, buscando así un sonido propio con la iniciativa, creación, composición y dirección de Byron Sánchez. La música colombiana es la base principal de este proyecto, sin estar explicitan en sus composiciones y de esta manera poder lograr un sonido único y propio, esto es posible ya que va de la mano de tres excelentes músicos colombianos que aportan a esta sonoridad.
 Este cuarteto cuenta ya con dos álbumes, Expresión del año 2011 y Entre Líneas del año 2014, con la característica de haber sido grabado en “live” sesión (sesión en vivo) desde el estudio sin ninguna edición posterior. Actualmente Byron Sánchez Cuarteto se encuentra preparando su nuevo álbum para este año 2015 donde busca cada vez perfeccionar su sonido y así su proyección artística de manera internacional.
ajo y Federico Ochoa en el saxofón con todo su conocimiento de música colombiana. De este manera se inicia un camino en la composición, dandole así un sonido propio en lo que seran sus proximas producciónes.",Músicas,https://goo.gl/ta7bSz,Junio 2015,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/p480x480/10419985_860835167326720_1974709427527120318_n.jpg?oh=a54c4e936d5c3dcfb126d6695481a80e&oe=5610F737&__gda__=1448236807_a3b9c3a4403eec00e98ad82359731455,"<Point><coordinates>-75.5650281,6.2069621,0.0</coordinates></Point>"
Montecarlo,"Montecarlo es un grupo musical de Medellín. Nuestro objetivo es llevar al público lo mejor del canto lírico internacional desde famosas arias de opera, canzonetas italianas y
zarzuela, pasando por tangos, boleros, rancheras, música Colombiana algunos clásicos de los años 60, flamenco y jazz. Hacemos conciertos de alto impacto, para toda la familia. Buscamos sacar la música clásica del teatro para muchas personas que nunca han
tenido la oportunidad de asistir a grandes escenarios y teatros. No importa la clase social, la música clásica llega hasta el fondo del alma de todas persona generando así espacios de sano esparcimiento y cultura a nivel nacional e internacional. 
Áreas artísticas del proyecto: Música",Músicas,www.montecarloproducciones.com,Junio 2015,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,http://www.montecarloproducciones.com/wp-content/themes/montecarlo/images/montecarlo-producciones-logo.png,"<Point><coordinates>-75.5692914,6.1947363,0.0</coordinates></Point>"
